Prefecture,Category,Place,Location
gifu,the 100 LocalLine of Japan,Myochi railway,
gifu,the 100 LocalLine of Japan,Tarumi Railway,
gifu,the 100 LocalLine of Japan,Nagara River railway,
gifu,New Flower Mountains 100,Enasan,
gifu,New Flower Mountains 100,Kitanomatadake,
gifu,New Flower Mountains 100,Hakusan,
gifu,New Flower Mountains 100,Kasagatake,
gifu,The 100 New Japan Travel Destinations,Hida alpine,
gifu,Japan Top 100 Sakura Viewing Sites,Sakaigawa embankment,Kakamigahara-shi Gifu
gifu,Japan Top 100 Sakura Viewing Sites,Kamagatani,Ikeda-cho Ibi-gun Gifu
gifu,Japan Top 100 Sakura Viewing Sites,Neodani,
gifu,Japan Top 100 Sakura Viewing Sites,Usuzumi Park,
gifu,Geology 100 selections of Japan,Ontakesan,
gifu,Geology 100 selections of Japan,Kamioka mine,
gifu,Geology 100 selections of Japan,Neo Valley fault,
gifu,Geology 100 selections of Japan,Hisuikyo,
gifu,The best 100th of Public Building,Kokondenjunosato Field Museum. Yamato,
gifu,The best 100th of Public Building,Gifu .,
gifu,the 100 Japanese hot springs,Gero Onsen,
gifu,the 100 Japanese hot springs,Fukuji Onsen,
gifu,100 Japanese bridge,Nagara Bridge,"Chayashinden Gifu-shi, Gifu"
gifu,100 Japanese bridge,Nakahashi,"Kawahara-cho, Takayama, Gifu"
gifu,100 Japanese bridge,Musaibashi in Eihoji temple,"Kokeizan-cho, Tajimi, Gifu"
gifu,100 famous Pass in Japan,Nomugi pass .,
gifu,100 selections of Beautiful Japanese Village Landscape,Hagi,Shirakawa Gifu
gifu,100 selections of Beautiful Japanese Village Landscape,Ogo,Gifu Kashimo
gifu,Japanese city park best 100,Kiso Sansen National park,Kaizu Kaizu county town in Gifu Prefecture
gifu,Japanese city park best 100,Shiroyama park,"Takayama, Gifu Prefecture"
gifu,the 100 Best Rice Terraces in Japan,Syogahora Rice terraces,Gifu Shiratori
gifu,the 100 Best Rice Terraces in Japan,Kamidaida Rice terraces,Gifu Yaotsu
gifu,the 100 Best Rice Terraces in Japan,Sakaori Rice terraces,Ena Gifu
gifu,the 100 Best Rice Terraces in Japan,Tagoroke Rice terraces,Gifu Kamitakara
gifu,the 100 Best Rice Terraces in Japan,Nakai Rice terraces,Gifu Kuguno
gifu,The 100 elections of the waterfall in Japan,Hirayu Big Falls,"Takayama, Gifu"
gifu,The 100 elections of the waterfall in Japan,Yoro Falls,"Yoro-cho, Yoro-gun, Gifu"
gifu,The 100 elections of the waterfall in Japan,Neo Falls,"Gero, Gifu"
gifu,The 100 elections of the waterfall in Japan,Amidaga Falls,"Gujo, Gifu"
gifu,Hometown Rice Ball Onigiri Top 100,Gohei rice cake,Gifu Nakatsugawa Ena
gifu,Hometown Rice Ball Onigiri Top 100,Hooba zushi,Gifu Higashimino
gifu,Top 100 Dam Lake,Enakyo - Oi Dam,"Ena , Gifu , Nakatsugawa"
gifu,Top 100 Dam Lake,Agigawa lake - Agigawa Dam,Gifu Ena
gifu,Top 100 Famous Water,Sogi water ( Hakuun water ),Gifu Gujo
gifu,Top 100 Famous Water,Nagara River (middle basin ),Gifu Mino Seki
gifu,Top 100 Famous Water,Yoro Waterfall Kikusui endowment,Gifu Yoro Yoro
