Prefecture,Category,Place,Location
fukui,Selection of best 100 beach,Wakasa Wada beach,
fukui,the 100 LocalLine of Japan,Echizen Railway Mikuniawara Line,
fukui,the 100 LocalLine of Japan,Fukui railway Fukubu Line,
fukui,The 100 New Japan Travel Destinations,Tojinbo,
fukui,The 100 New Japan Travel Destinations,Mikatago lake,
fukui,Japan Top 100 Sakura Viewing Sites,Asuwa river,
fukui,Japan Top 100 Sakura Viewing Sites,Asuwa mountain Park,
fukui,Japan Top 100 Sakura Viewing Sites,Kasumigashiro Park,Sakai-shi Fukui
fukui,Japan Sunset Best 100,Mikuni-cho,
fukui,Japan Sunset Best 100,Echizen-cho,
fukui,Japan Sunset Best 100,Takahama-cho,
fukui,Geology 100 selections of Japan,Tojinbo,
fukui,The best 100th of Public Building,Sun Dome Fukui . Takeo Fukui .,
fukui,100 Japanese bridge,Tsukumo bridge,"Chuo, Fukui-shi, Fukui"
fukui,100 famous Pass in Japan,pass buds .,
fukui,100 selections of Beautiful Japanese Village Landscape,Miyazaki,Fukui Miyazaki
fukui,100 selections of Beautiful Japanese Village Landscape,Nashishogataira,Echizen Fukui
fukui,Japanese city park best 100,Echizen pottery park,"Nyu-gun, Fukui Prefecture, Miyazaki village"
fukui,the 100 Best Rice Terraces in Japan,Nashigadaira senmaida,Echizen Fukui
fukui,the 100 Best Rice Terraces in Japan,Hibiki Rice terraces,Takahama Fukui
fukui,The 100 elections of the waterfall in Japan,Ryusouga Falls,"Ikeda-cho, Imadate, Fukui"
fukui,Hometown Rice Ball Onigiri Top 100,Houba rice,Fukui throughout
fukui,Hometown Rice Ball Onigiri Top 100,Mackerel sushi fermented with fish and vegetables,Fukui Wakasa
fukui,Hometown Rice Ball Onigiri Top 100,Trout sushi,Fukui Takashi Sakai Okuetsu
fukui,Top 100 Famous Water,Uriwari waterfall,Fukui Mikatakaminaka Wakasa
fukui,Top 100 Famous Water,Oshimizu,Fukui Ono Izumi
fukui,Top 100 Famous Water,Unose,Fukui Obama Jinguji
