Prefecture,Category,Place,Location
osaka,the 100 LocalLine of Japan,BanSakai Electric Railway Hankai Line,
osaka,the 100 LocalLine of Japan,JR Kansai Line,
osaka,the 100 LocalLine of Japan,Kintetsu Nara Line,
osaka,the 100 LocalLine of Japan,Nankai Electric Railway Koya Line,
osaka,Japan Top 100 Sakura Viewing Sites,Osaka Castle Park,Osaka-shi Osaka
osaka,Japan Top 100 Sakura Viewing Sites,Mint,Osaka-shi Osaka
osaka,Japan Top 100 Sakura Viewing Sites,Expo Memorial Park,Suita-shi Osaka
osaka,Japan Sunset Best 100,Kita-ku Osaka-shi (Hanging Gardens),
osaka,Japan Sunset Best 100,Tennoji-ku Osaka-shi (Shitennoji),
osaka,Japan Sunset Best 100,Suminoe-ku Osaka-shi (WTC),
osaka,Japan Sunset Best 100,Konohana-ku Maishima Sports Island,
osaka,Japan Sunset Best 100,Kishiwada-shi,
osaka,Japan Sunset Best 100,Kansai International Airport Island,
osaka,Japan Sunset Best 100,Sennan-shi,
osaka,Japan Sunset Best 100,Misaki-cho,
osaka,Japan Sunset Best 100,Nose-cho Toyono-gun,
osaka,The best 100th of Public Building,National Museum of Ethnology . Osaka-shi,
osaka,The best 100th of Public Building,Osaka .,
osaka,100 Japanese bridge,Nagara Bridge,"Osaka-shi, Osaka"
osaka,100 Japanese bridge,Naniwa Bridge,"Chuo-ku, Osaka-shi, Osaka"
osaka,100 Japanese bridge,Korai Bridge,"Chuo-ku, Osaka-shi, Osaka"
osaka,100 Japanese bridge,Yodoya Bridge,"Chuo-ku, Osaka-shi, Osaka"
osaka,100 Japanese bridge,Shinsai Bridge,"Minamisenba, Chuo-ku, Osaka-shi, Osaka"
osaka,100 Japanese bridge,Sumiyoshisorihashi,"Sumiyoshi Sumiyoshi-ku, Osaka-shi, Osaka"
osaka,100 famous Pass in Japan,Horaga pass .,
osaka,100 famous Pass in Japan,Takenouchi pass .,
osaka,100 famous Pass in Japan,Izumi Katsuragi Yue .,
osaka,100 selections of Beautiful Japanese Village Landscape,Osato,Osaka Nose
osaka,Japanese city park best 100,Osaka Castle park,"Osaka, Osaka Prefecture"
osaka,Japanese city park best 100,Nakanoshima park,"Osaka, Osaka Prefecture"
osaka,Japanese city park best 100,Hattori Ryokuchi,"Toyonaka, Osaka"
osaka,Japanese city park best 100,Satsukiyama green place,"Ikeda, Osaka"
osaka,Japanese city park best 100,Daisen park,"Sakai, Osaka Prefecture"
osaka,Japanese city park best 100,Central park,"Kishiwada, Osaka Prefecture"
osaka,the 100 Best Rice Terraces in Japan,Shimoakasaka Rice terraces,Osaka Chihayaakasaka
osaka,the 100 Best Rice Terraces in Japan,Nagatani Terraced rice,Nose Osaka
osaka,The 100 elections of the waterfall in Japan,Minoo Falls,"Minoo, Osaka"
osaka,Hometown Rice Ball Onigiri Top 100,Oshizushi,Osaka Sennan
osaka,Hometown Rice Ball Onigiri Top 100,Taimeshi,Osaka Sennan Misaki Fukabi
osaka,Hometown Rice Ball Onigiri Top 100,Hinazushi,Osaka Minamikawachi Chihayaakasaka
osaka,Top 100 Famous Water,Rikyu water,Osaka Mishima Shimamoto
