Prefecture,Category,Place,Location
kagawa,Selection of best 100 beach,Megijima beach,
kagawa,Selection of best 100 beach,Shamijima beach,
kagawa,Selection of best 100 beach,Hontohaku beach,
kagawa,the 100 LocalLine of Japan,JR Setoohashi Line,
kagawa,the 100 LocalLine of Japan,Takamatsu Kotohira electric railway Kotohira Line,
kagawa,the 100 LocalLine of Japan,JR Kotoku Line,
kagawa,the 100 LocalLine of Japan,JR Yosan Line,
kagawa,the 100 LocalLine of Japan,JR Dosan Line,
kagawa,The 100 New Japan Travel Destinations,Shodoshima,
kagawa,The 100 New Japan Travel Destinations,Ritsurin park,
kagawa,The 100 New Japan Travel Destinations,Yashima,
kagawa,Japan Top 100 Sakura Viewing Sites,Kotohiki Park,Kannonji-shi Kagawa
kagawa,Japan Sunset Best 100,Shodoshima,
kagawa,Japan Sunset Best 100,Takamatsu-shi,
kagawa,Japan Sunset Best 100,Kanonji-shi,
kagawa,Japan Sunset Best 100,Nio-cho,
kagawa,Japan Sunset Best 100,Takuma-cho,
kagawa,Geology 100 selections of Japan,Sanukite,
kagawa,The best 100th of Public Building,NTT Takamatsu hospital . Takamatsu,
kagawa,The best 100th of Public Building,Kagawa .,
kagawa,The best 100th of Public Building,Kagawa government buildings . Takamatsu,
kagawa,The best 100th of Public Building,Kagawa .,
kagawa,The best 100th of Public Building,Seto Inland Sea Museum of History and Folklore . Takamatsu,
kagawa,The best 100th of Public Building,Kagawa .,
kagawa,The best 100th of Public Building,Marugame Genichiro-Inokuma Museum of Contemporary Art,
kagawa,The best 100th of Public Building,Marugame City Library . Kagawa Marugame .,
kagawa,100 Japanese bridge,Kotohira Saya bridge,"Kotohira-cho, Kagawa"
kagawa,100 Japanese bridge,Sanka Bridge,"Kawahara-cho, Kanonji, Kagawa"
kagawa,100 famous Pass in Japan,Aikuri pass .,
kagawa,100 selections of Beautiful Japanese Village Landscape,Toyohama,Kagawa Toyohama
kagawa,Japanese city park best 100,Ritsurin park,"Takamatsu, Kagawa Prefecture"
kagawa,the 100 Best Rice Terraces in Japan,Nakayama senmaida,Kagawa Ikeda
kagawa,Hometown Rice Ball Onigiri Top 100,Cancan zushi,Kagawa Okawa Shido
kagawa,Hometown Rice Ball Onigiri Top 100,Taimeshi,Kagawa Sakaide Tamagoe
kagawa,Hometown Rice Ball Onigiri Top 100,Bamboo rice,Kagawa Okawa Nagao
kagawa,Top 100 Dam Lake,Mannoike - Mannoike Dam,Kagawa Nakatado Manno
kagawa,Top 100 Famous Water,Yubune water,Kagawa Shodo Shodoshima
