Prefecture,Category,Place,Location
saga,the 100 LocalLine of Japan,Matsuura railway Nishikyushu Line,
saga,Japan Top 100 Sakura Viewing Sites,Ogi park,Ogi-shi Saga
saga,The best 100th of Public Building,Saga Kyusyu Pottery Cultural hall . Arita,
saga,The best 100th of Public Building,Saga .,
saga,the 100 Japanese hot springs,Ureshino Onsen,
saga,the 100 Japanese hot springs,Takeo Onsen,
saga,100 Japanese bridge,Chikugo River lift bridge,"Nishinohama, Saga-shi, Saga"
saga,100 famous Pass in Japan,Mitsuse pass .,
saga,100 selections of Beautiful Japanese Village Landscape,Shimosekidoh,Saga Higashisefuri
saga,100 selections of Beautiful Japanese Village Landscape,Eli Mt,Saga Ogi
saga,100 selections of Beautiful Japanese Village Landscape,Kabeshima,Saga Yobuko
saga,Japanese city park best 100,Saga Castle park,"Saga, Saga Prefecture"
saga,the 100 Best Rice Terraces in Japan,Warabino Rice terraces,Ouchi Saga
saga,the 100 Best Rice Terraces in Japan,Oura Rice terraces,Hizen Saga
saga,the 100 Best Rice Terraces in Japan,Hamanoura Rice terraces,Genkai Saga
saga,the 100 Best Rice Terraces in Japan,Take Rice terraces,Saga Nishiarita
saga,the 100 Best Rice Terraces in Japan,Eriyama Rice terraces,Saga Ogi
saga,the 100 Best Rice Terraces in Japan,Nishinotani Rice terraces,Saga Fuji
saga,The 100 elections of the waterfall in Japan,Kannon Falls,"Karatsu, Saga"
saga,The 100 elections of the waterfall in Japan,Satogaeri Falls,"Karatsu, Saga"
saga,Hometown Rice Ball Onigiri Top 100,Sukozushi,Saga Kishima Shiraishi Suko
saga,Hometown Rice Ball Onigiri Top 100,Agemakibarazushi,Saga Kashima
saga,Hometown Rice Ball Onigiri Top 100,Crab rice,Saga Higashimatsuura Nanayama
saga,Top 100 Famous Water,Dragon gate water,Saga Nishimatsura Nishiarita
saga,Top 100 Famous Water,Shimizu river,Saga Ogi
