Prefecture,Category,Place,Location
ibaraki,Selection of best 100 beach,Ishihama beach,
ibaraki,Selection of best 100 beach,Kawarago beach,
ibaraki,Selection of best 100 beach,Mizuki beach,
ibaraki,Selection of best 100 beach,Oarai Sun Beach,
ibaraki,Selection of best 100 beach,Hasaki beach,
ibaraki,the 100 LocalLine of Japan,JR Suigun Line,
ibaraki,the 100 LocalLine of Japan,Hitachinaka beach railway,
ibaraki,the 100 LocalLine of Japan,Moka railway,
ibaraki,Japan Top 100 Sakura Viewing Sites,Kamine Park,
ibaraki,Japan Top 100 Sakura Viewing Sites,Heiwa street,
ibaraki,Japan Top 100 Sakura Viewing Sites,Shizumine Park,Naka-shi Ibaraki
ibaraki,Geology 100 selections of Japan,Tsukubasan,
ibaraki,The best 100th of Public Building,Art Tower Mito . Mito,
ibaraki,The best 100th of Public Building,Ibaraki .,
ibaraki,The best 100th of Public Building,Museum Park Ibaraki Nature Museum . Iwai,
ibaraki,The best 100th of Public Building,Ibaraki City.,
ibaraki,100 Japanese bridge,Suifu bridge,"Mito, Ibaraki"
ibaraki,100 famous Pass in Japan,Sakaino Myojin pass .,
ibaraki,100 selections of Beautiful Japanese Village Landscape,Goshouchi,Ibaraki Suifu
ibaraki,Japanese city park best 100,Kairakuen,"Mito, Ibaraki Prefecture"
ibaraki,The 100 elections of the waterfall in Japan,Fukuroda Falls,"Daigo-machi Kuji-gun, Ibaraki"
ibaraki,Hometown Rice Ball Onigiri Top 100,Yakimochi,Ibaraki western upland
ibaraki,Hometown Rice Ball Onigiri Top 100,Taro rice,Ibaraki northern mountainous
ibaraki,Hometown Rice Ball Onigiri Top 100,Chestnut rice,Ibaraki
ibaraki,Top 100 Famous Water,Yamizogawa spring water group,Ibaraki Kuji Daigo
