Prefecture,Category,Place,Location
oita,Selection of best 100 beach,Nata Karishuku beach,
oita,Selection of best 100 beach,Kuroshima beach,
oita,Selection of best 100 beach,Sekai beach,
oita,the 100 LocalLine of Japan,JR Kyudai Line,
oita,the 100 LocalLine of Japan,JR Hohi Line,
oita,Japan Top 100 Sakura Viewing Sites,Okajou Park,Taketa-shi Oita
oita,Japan Sunset Best 100,Matama-cho,
oita,Geology 100 selections of Japan,Kusu double mesa,
oita,The best 100th of Public Building,Art Plaza . Oita,
oita,The best 100th of Public Building,Oita .,
oita,The best 100th of Public Building,Oita government buildings . Oita,
oita,The best 100th of Public Building,Oita .,
oita,The best 100th of Public Building,Takeda post office . Oita Taketa .,
oita,The best 100th of Public Building,Nakatsu Municipal Obata Memorial Library . Oita Nakatsu .,
oita,the 100 Japanese hot springs,Kannawa Onsen,
oita,the 100 Japanese hot springs,Myoban Onsen,
oita,the 100 Japanese hot springs,Yufuin Onsen,
oita,the 100 Japanese hot springs,Kawazoko Onsen,
oita,the 100 Japanese hot springs,Nagayu Onsen,
oita,100 Japanese bridge,Kurebashi,"Usa City, Oita"
oita,100 Japanese bridge,Yabakei bridge,"Gesoki, Honyabakei-cho, Shimoge-gun, Oita"
oita,100 Japanese bridge,Koukan bridge,"Nozu-cho, Mie-cho, Ono-gun, Oita"
oita,100 famous Pass in Japan,Gakumeki pass .,
oita,100 famous Pass in Japan,Hokotate pass .,
oita,100 famous Pass in Japan,Mikuni pass .,
oita,100 selections of Beautiful Japanese Village Landscape,Kamijizai,Ogata Oita
oita,Japanese city park best 100,Mt. Takao Natural park,"Oita, Oita Prefecture"
oita,the 100 Best Rice Terraces in Japan,Yufugawa Okutsume Rice terraces,Oita Hasama
oita,the 100 Best Rice Terraces in Japan,Uchinari terraced rice fields Rice terraces,"Beppu, Oita"
oita,the 100 Best Rice Terraces in Japan,Jikumarukita Rice terraces,Ogata Oita
oita,the 100 Best Rice Terraces in Japan,Yamaura Hayamizu Rice terraces,Oita Kusu
oita,the 100 Best Rice Terraces in Japan,Ryoai Rice terraces,Oita Innai
oita,the 100 Best Rice Terraces in Japan,Hadaka Rice terraces,Oita Yamakuni
oita,The 100 elections of the waterfall in Japan,Harajiri Falls,"Bungoono, Oita"
oita,The 100 elections of the waterfall in Japan,Shindo Falls,"Kusu-gun Kokonoe-machi, Oita"
oita,The 100 elections of the waterfall in Japan,Higashishiiya Falls,"City, town Ajimu Usa, Oita"
oita,The 100 elections of the waterfall in Japan,Nishishiya Falls,"Kusu Kusu-gun, Oita"
oita,Hometown Rice Ball Onigiri Top 100,Nigirimeshi of Shiitakemeshi,Oita throughout
oita,Hometown Rice Ball Onigiri Top 100,Sansai rice ball,Oita Beppu Kamegawa
oita,Hometown Rice Ball Onigiri Top 100,Takanazushi,Oita Hita
oita,Top 100 Dam Lake,Kitagawa Lake Dam - Kitagawa Dam,Oita Saiki
oita,Top 100 Famous Water,Oike spring water group,Oita Yufu
oita,Top 100 Famous Water,Takeda spring water group,Oita Taketa
oita,Top 100 Famous Water,Hakusan river,Oita Bungoono ( Inazumi underwater limestone cave )
